Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun uncolombia dia conoce unparatodos semana mas feliz video unimedios orgulloun hoy 
 comunidadun escucha unradio descargando nueva app disponible ios android 985unradio labelurl  ; j : 207. Sim : 0.32831067; No similar. 
 comunidadun eventos actividades academicas culturales uncolombia estan aqui labelurl circularun unp; j : 208. Sim : 0.40297177; No similar. 
 comunidadun deseamos gran semana comencemos dia informacion unparatodos labelurl unimedios felizlun; j : 209. Sim : 0.66759104; Baja. 
 terminar lunes musica unradio emision web labelurl unradioweb feliz noche comunidadun  ; j : 210. Sim : 0.61300385; Baja. 
 comunidadun feliznoche feliz fin semana proxima semana volvemos mas unparatodos labelurl  ; j : 211. Sim : 0.67967075; Media. 
 terminar dia recuerda tambien youtube video labelurl feliz noche comunidadun unparatodos  ; j : 212. Sim : 0.710762; Media. 
 comunidadun conode informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevisi; j : 213. Sim : 0.3535029; No similar. 
 feliznoche terminemos semana conociendo repositorio digital metacampusun labelurl feliz fin semana ; j : 214. Sim : 0.47606704; No similar. 
 feliz comienzo semana comunidadun gran lunes informacion unparatodos labelurl unimedios somosun  ; j : 215. Sim : 0.7301741; Media. 
 feliz noche comunidadun terminemos dia musica unparatodos video playback unmedellin labelurl  ; j : 216. Sim : 0.6054025; Baja. 
 piedadmaya orgulloun mantillaignacio ramirochm ffchaparro 985unradio unimedios vriun editorialun ci; j : 217. Sim : 0.20941824; No similar. 
 comencemos dia informacion ver leer escuchar boletinun labelurl unimedios 985unradio untelevision  ; j : 218. Sim : 0.42033044; No similar. 
 terminar dia informacion ver leer escuchar labelurl boletinun unimedios 985unradio untelevision  ; j : 219. Sim : 0.41627434; No similar. 
 felizjueves comenzamos dia informacion unparatodos ver leer escuchar boletinun labelurl unimedios  ; j : 220. Sim : 0.44531786; No similar. 
 comunidadun conoce informacion unparatodos ver leer escuchar labelurl unimedios 985unradio untelevi; j : 221. Sim : 0.46497488; No similar. 
 felizlunes feliz comienzo semana toda comunidadun gracias acompanarnos diariamente somosun  ; j : 222. Sim : 0.53600585; Baja. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 223. Sim : 0.58773077; Baja. 
 buenos dias comenzamos dia compartiendo ustedes canal oficial youtube labelurl unparatodos  ; j : 224. Sim : 0.49838936; No similar. 
 rt consejoech pasate viejo verde participa escenario creativo imaginarios visuales colectivos funda; j : 225. Sim : 0.13324031; No similar. 
 felizmiercoles unparatodos comenzar gran dia noticias diariamente hacen sentir orgulloun labelurl  ; j : 226. Sim : 0.58773077; Baja. 
 comunidadun visitaste exposicion museodearteun conoce mas aqui labelurl video divcultural unbogota ; j : 227. Sim : 0.52628934; Baja. 
 urosario academic event gerontechnology an interdisciplinary program that showcases rehabilitation ; j : 228. Sim : 0.08159246; No similar. 
 felizlunes comunidadun deseamos gran dia mejor semana fotografia unmanziales unparatodos labelurl  ; j : 229. Sim : 0.60591865; Baja. 
 comunidadun noticias ver leer escuchar estan boletinun labelurl unimedios 985unradio untelevision  ; j : 230. Sim : 0.4096897; No similar. 
 comunidadun conoces canal oficial youtube conoce mas unparatodos video labelurl suscibete  ; j : 231. Sim : 0.50967; Baja. 
 comunidadun nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 232. Sim : 0.3959874; No similar. 
 encuentra actividades academicas culturales toda comunidadun sede bogota aqui labelurl unbogota  ; j : 233. Sim : 0.4661011; No similar. 
 noche consejos aplicar siempre expresatebien comunicate mejor campanaun labelurl feliz noche  ; j : 234. Sim : 0.49174586; No similar. 
 comunidadun nueva edicion unperiodico disponible consultala aqui labelurl unimedios feliz noche  ; j : 235. Sim : 0.64093083; Baja. 
 encuentra nueva edicion boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 236. Sim : 0.36827293; No similar. 
 comunidadun comenzamos dia videos musicaun programa playback labelurl feliz viernes unparatodos  ; j : 237. Sim : 0.57814634; Baja. 
 comenzamos dia videos musicaun programa playback untelevision labelurl feliz miercoles comunidadun ; j : 238. Sim : 0.56420016; Baja. 
 terminar viernes tener gran fin semana programateun actividades culturales unparatodos labelurl  ; j : 239. Sim : 0.48633048; No similar. 
 conoce nueva edicion boletinun ver leer escuchar labelurl unimedios 98unradio untelevision  ; j : 240. Sim : 0.4048232; No similar. 
 comunidadun recuerda descargar aplicacion circularun conocer mas eventos actividades unparatodos  ; j : 241. Sim : 0.37653702; No similar. 
 comunidadun nueva edicion boletinun puedas ver leer escuchar informacion uncolombia labelurl  ; j : 242. Sim : 0.44612908; No similar. 
 comunidadun nueva edicion boletinun llega informacion unparatodos ver leer escuchar labelurl  ; j : 243. Sim : 0.41644615; No similar. 
 comunidadun recuerda tener cuenta consejos expresatebien comunicate mejor labelurl aplicalos campan; j : 244. Sim : 0.32031268; No similar. 
 comunidadun editorialun trae nuevo boletin novedades editoriales mes encuentralas aqui labelurl  ; j : 245. Sim : 0.47897974; No similar. 
 encuentra nueva edicion boletinun informacion ver leer escuchar trae unimedios labelurl  ; j : 246. Sim : 0.42406332; No similar. 
 terminar dia fotogaleria arte microtrafico exposicionun humanasunal labelurl unimedios feliz noche ; j : 247. Sim : 0.47466433; No similar. 
 boletinun encuentras informacion inter ver leer escuchar unimedios 985unradio untelevision labelurl; j : 248. Sim : 0.36211488; No similar. 
 conoce serie interactiva untelevision pocas palabras patent labelurl feliz noche comunidadun  ; j : 249. Sim : 0.52996075; Baja. 
 felizmartes comienza gran dia buscando videos uncolombia canal oficial youtube labelurl  ; j : 250. Sim : 0.49079496; No similar. 
 comunidadun comienza dia informacion ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 251. Sim : 0.52051777; Baja. 
 descargaste nueva app radio escucha programacion celular disponible ios an labelurl  ; j : 252. Sim : 0.3512131; No similar. 
 termina jueves conciertos audiciones queremos ver labelurl metacampusun feliz noche somosun  ; j : 253. Sim : 0.43745798; No similar. 
 comenzar gran semana recuerda poner practica consejos expresatebien comunicate mejor labelurl  ; j : 254. Sim : 0.3848616; No similar. 
 sabes detras palabras campanaun expresatebien comunicate mejor labelurl oficinapeun feliz noche  ; j : 255. Sim : 0.5078699; Baja. 
 hoyenelrosario academic event gerontechnology an interdisciplinary program that showcases rehabilit; j : 256. Sim : 0.06835929; No similar. 
 comunidadun descarga edicion diciembre unperiodico conoce mas informacion unparatodos labelurl unim; j : 257. Sim : 0.6821486; Media. 
 descargaste aplicacion circularun instalala programate eventos actividades tendra 2016 unparatodos ; j : 258. Sim : 0.33155063; No similar. 
 feliznoche viernes comunidadun comienzan vacaciones queremos desearles mejor navidad somosun  ; j : 259. Sim : 0.4598123; No similar. 
 encuentra info universidad boletinun ver leer escuchar labelurl unimedios 985unradio untelevision  ; j : 260. Sim : 0.3081327; No similar. 
 terminar dia invitamos descargar nueva edicion unperiodico labelurl feliz noche comunidadun  ; j : 261. Sim : 0.57383525; Baja. 
 comencemos lunes mejor actitud tener gran semana somosorgulloun fotografia unpalmira labelurl  ; j : 262. Sim : 0.48241624; No similar. 
 felizlunes comenzamos semana celebrando dia mundial radio toda comunidadun 985unradio labelurl  ; j : 263. Sim : 0.51997966; Baja. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 264. Sim : 0.6252078; Baja. 
 felizmiercoles comencemos gran dia videos hacen parte repositorio digital metacampusun labelurl  ; j : 265. Sim : 0.36861646; No similar. 
 hoy comenzamos dia videos musicaun programa playback labelurl feliz miercoles comunidadun  ; j : 266. Sim : 0.6252078; Baja. 
 comunidaun nueva coleccion tiendaun disponible visita filbo2017 fin semana conocela labelurl  ; j : 267. Sim : 0.37453315; No similar. 
 ano recuerda poner practica consejos expresatebien comunicate mejor utilizalos diariamente labelurl; j : 268. Sim : 0.3538535; No similar. 
 feliz regreso clases comunidadun deseamos gran lunes mejor semanas unparatodos labelurl  ; j : 269. Sim : 0.60231197; Baja. 
 comunidadun comencemos dia articulos trae nueva edicion unperiodico labelurl feliz jueves  ; j : 270. Sim : 0.6481182; Baja. 
 feliznoche toda comunidadun diariamente acompana rede sociales gracias unparatodos somosun  ; j : 271. Sim : 0.35070333; No similar. 
 santycadavidd buenos dias lamentamos sucedido lista publicara hoy final dia labelurl  ; j : 272. Sim : 0.5686994; Baja. 
 comunidadun conoces museos uncolombia aqui puedes encontrarlos labelurl programa visita circularun ; j : 273. Sim : 0.35537958; No similar. 
 disponible edicion 112 eleafitense conozcan articulos trae nueva edicion ingresando labelurl  ; j : 274. Sim : 0.29993647; No similar. 
 launcuenta proceso rendicion cuentas vigencia 2016 encuentras canal youtube video labelurl  ; j : 275. Sim : 0.4130703; No similar. 
 diadeinternet conoce apporta bogota nueva app quejas reclamos disenada vivelabbogota labelurl  ; j : 276. Sim : 0.3166441; No similar. 
 boletinun cada semana trae nueva informacion ver leer escuchar labelurl unimedios  ; j : 277. Sim : 0.45435843; No similar. 
 comunidadun disfrutar zonas verdes campus reflejan convivimos pazun vivelos somosorgulloun labelurl; j : 278. Sim : 0.22361602; No similar. 
 comunidadun ten cuenta cuidar zonas verdes sedes uncolombia tambien bienestar labelurl  ; j : 279. Sim : 0.3704783; No similar. 
 buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos felizjueves unparatodos  ; j : 280. Sim : 0.6426714; Baja. 
 comunidadun sabias estadisticos matematicos celebran hoy dia clasico feliz dia labelurl  ; j : 281. Sim : 0.63627887; Baja. 
 comunidadun terminar jueves conoce agenda actividades trae circularun labelurl feliz noche  ; j : 282. Sim : 0.56992817; Baja. 
 comunidadun hoy tambien celebramos culto lectura dia bibliotecologo uncolombia unparatodos labelurl; j : 283. Sim : 0.62410676; Baja. 
 terminar gran dia dejamos unradio programacion cultural musical unparatodos labelurl 985unradio  ; j : 284. Sim : 0.34223586; No similar. 
 comunidadun conoce acuerdo 065 2015 fija calendario academico uncolombia 2016 labelurl  ; j : 285. Sim : 0.42418203; No similar. 
 comunidadun haz parte proceso permanente rendicion cuentas enviando preguntas labelurl launcuenta  ; j : 286. Sim : 0.35006642; No similar. 
 janivysniebles hola enviamos link pagina web editorialun puedas consultar info labelurl  ; j : 287. Sim : 0.25571316; No similar. 
 comunidadun terminaron viernes esperamos gran dia mejor fin semana unparatodos  ; j : 288. Sim : 0.6242374; Baja. 
 comunidadun comprometamonos reduccion uso plasticos icopor ahorraun labelurl sedesun feliz noche  ; j : 289. Sim : 0.4382933; No similar. 
 museosun tambien estan circularun conocelos programa visita labelurl feliz noche unparatodos  ; j : 290. Sim : 0.5467452; Baja. 
 sabias gran mayoria accidentes uncolombia dan uso bicicletas dirbienestarun cuida labelurl  ; j : 291. Sim : 0.30638826; No similar. 
 guion truhan tilde ortografia espanol lucia fraca guerrera barrera losperiodistasenunisabana  ; j : 292. Sim : 0.2102196; No similar. 
 hombres dia dia desempenan diferentes roles comunidadun feliz dia hombre labelurl  ; j : 293. Sim : 0.54743373; Baja. 
 comundiadun recuerda consultar agenda nacional eventos actividades academicas unparatodos labelurl ; j : 294. Sim : 0.2526567; No similar. 
 uncolombia puedes encontrar grandes amigos feliz miercoles excelente dia oficinapeun labelurl  ; j : 295. Sim : 0.5653673; Baja. 
 felizlunes comenzamos dia celebrando fotografos camarografos hacen ver vida mejor labelurl  ; j : 296. Sim : 0.38180453; No similar. 
 comunidadun conoce mas universidad nueva edicion unperiodico descargala labelurl unimedios unparato; j : 297. Sim : 0.5661965; Baja. 
 buenasnoches comunidad uncolombia tal comienzo semana esperamos sido gran lunes labelurl  ; j : 298. Sim : 0.4880787; No similar. 
 paso bojaya duro golpeo fe esperanza padre antun ramos lapazesposible  ; j : 299. Sim : 0.22188175; No similar. 
 rt conectateu recomendado ultimo ethejournal analyze interactions in graduatelevel academic faceboo; j : 300. Sim : 0.27693367; No similar. 
 rt hayfestivalesp canada llegan natasha kanape fontaine ingridbee eafit dentro hora haymedellin17 l; j : 301. Sim : 0.16587293; No similar. 
 conoce mas edificios estan sido adecuados bienestar toda comunidadun somosuncampus labelurl  ; j : 302. Sim : 0.33266127; No similar. 
 pazun musica posacuerdo suena reconciliacion diebun labelurl via unimedios feliz noc labelurl  ; j : 303. Sim : 0.3659404; No similar. 
 quieres ver nuevamente lapazenfoco programa untelevision encuentra capitulos aqui labelurl unparato; j : 304. Sim : 0.4670187; No similar. 
 amor espanol literatura bogdan piotrowski academico numero academia colombiana lengua labelurl  ; j : 305. Sim : 0.21691495; No similar. 
 detalles hacen dia mas dulce gracias bienestarsabana comenzamos celebracion 37anosunisabana labelur; j : 306. Sim : 0.43507612; No similar. 
 comunidadun aprovecha 96 libros electronicos descargar gratis uncolombia labelurl editorialun unive; j : 307. Sim : 0.36881614; No similar. 
 comunidadun esperamos sido gran semana regreso clases lunes mas unparatodos labelurl  ; j : 308. Sim : 0.6269884; Baja. 
 felizmartes comencemos dia musica playback cavito mendoza labelurl video unparatodos untelevision  ; j : 309. Sim : 0.44923568; No similar. 
 terminar dia noticias hacen sentir orgulloun mas patentada labelurl via revistasemana  ; j : 310. Sim : 0.48248243; No similar. 
 feliz noche unparatodos esperamos sido gran miercoles gracias acompanarnos somosun labelurl  ; j : 311. Sim : 0.45550424; No similar. 
 rt obsdemocracia buenviernes invitamos votar nuevo sondeo virtual propuesta refrendacion acuerdopaz; j : 312. Sim : 0.1778078; No similar. 
 comunidadun quedan pocos dias visitar exposicion ver vivir tiempo claustrodesanagustin labelurl  ; j : 313. Sim : 0.46225452; No similar. 
 comunidadun conoce apropiate rede sociales institucionales revisa estadisticas cumple objeti labelu; j : 314. Sim : 0.28853878; No similar. 
 recomiendo dia escribir editar mejor escribir titulo resumen final texto  ; j : 315. Sim : 0.28875497; No similar. 
 comunidadun terminar lunes click museo ciencia juego samoga unmanizales video labelurl  ; j : 316. Sim : 0.41079572; No similar. 
 siendo afectados procesos machine learn martha alice losada rectora uantonionarino labelurl  ; j : 317. Sim : 0.06775541; No similar. 
 hoy conozcamos mas division bibliotecas sede bogota rede sociales labelurl buenviernes  ; j : 318. Sim : 0.3693416; No similar. 
 buenviernes hoy click obras guillermo botero gutierrez unmanizales video labelurl untelevision  ; j : 319. Sim : 0.40205872; No similar. 
 hoy dia conocer mas campus unamazonia recorrido virtual labelurl unparatodos unsedeamazonia  ; j : 320. Sim : 0.5598384; Baja. 
 comunidadun esperamos sido gran inicio semana deseamos feliz noche unparatodos labelurl  ; j : 321. Sim : 0.5805573; Baja. 
 programateun vacaciones visita exposicionun acto medico claustro san agustin inf labelurl  ; j : 322. Sim : 0.34943113; No similar. 
 invitamos ser parte comunidadun youtube labelurl somosun suscribete conoce mas unparatodos  ; j : 323. Sim : 0.39047223; No similar. 
 elena ambrositurbay pgncol procuradora delegada apoyo victimas conflicto armado desmovil labelurl  ; j : 324. Sim : 0.18455644; No similar. 
 dias vivimos grandes momentos merecen ser recordados feliz fin semana labelurl  ; j : 325. Sim : 0.5074864; Baja. 
 diosserfmlipais caso favor clic dice active cuenta aqui siga instrucciones  ; j : 326. Sim : 0.34404522; No similar. 
 feliz lunes comunidadun bienvenidos nueva semana campus universidad unparatodos somosun labelurl  ; j : 327. Sim : 0.5633826; Baja. 
 articulo unparatodos nueva edicion unperiodico luces camara academia labelurl facultadartes uncolom; j : 328. Sim : 0.4068363; No similar. 
 descubre nuevas noticias ver leer escuchar unparatodos labelurl unimedios 985unradio untelevision  ; j : 329. Sim : 0.35886243; No similar. 
 gracias ser parte gran comunidadun rede oficiales uncolombia mantillaignacio unimedios labelurl  ; j : 330. Sim : 0.41456735; No similar. 
 hoy conmemoramos toda comunidadun dia nacional memoria solidaridad victimas confl labelurl  ; j : 331. Sim : 0.5380883; Baja. 
 comunidadun conoces repositorio digital metacampusun descubre nueva ventana mundo labelurl unparato; j : 332. Sim : 0.31486154; No similar. 
